ReactionKey,Name,PathwayKey,FormulaKey,GeneAssociation,Flux_Baseline,Flux_Stress75,DeltaFlux,AbsDeltaFlux,DeltaAbsFlux,FVA_Baseline_Min,FVA_Baseline_Max,FVA_Stress75_Min,FVA_Stress75_Max,Required_Baseline,Required_Stress75,ResponseClass,Evidence,NodeSize
GK1,"Guanylate kinase (GMP:ATP)","Nucleotides",atp_c + gmp_c  <=> adp_c + gdp_c,Guk1_AT1,1.57772181044202e-30,-1.07419494964583e-31,-1.68514130540661e-30,1.68514130540661e-30,-1.47030231547744e-30,0,0.00303683551724459,0,0.00302483093104369,0,0,Unchanged,iAB-RBC-283 model metadata; COBRA pFBA/FVA; model-defined GTHPi demand,0
GLCt1,"Glucose transport  uniport","Transport, Extracellular",glc__D_e  <=> glc__D_c,Slc2a3_1_e or Slc2a1_1_e or Slc2a4_1_e,1.12,1.12,0,0,0,1.10532196166665,1.12,1.1053799838333,1.12,1,1,Unchanged,iAB-RBC-283 model metadata; COBRA pFBA/FVA; model-defined GTHPi demand,0
INSt,"Inosine transport (diffusion)","Transport, Extracellular",ins_e  <=> ins_c,Slc29a1_1_e,-0,-0,0,0,0,-0.0110085287500036,0,-0.0109650121250221,0,0,0,Unchanged,iAB-RBC-283 model metadata; COBRA pFBA/FVA; model-defined GTHPi demand,0
KCCt,"K+-Cl- cotransport","Transport, Extracellular",cl_e + k_e  <=> cl_c + k_c,Slc12a7_1_e,-5.87112293333345,-5.8479228446668,0.023200088666651,0.023200088666651,-0.023200088666651,-5.87112293333346,-5.81241078,-5.84792284466673,-5.78944278,1,1,Decreased,iAB-RBC-283 model metadata; COBRA pFBA/FVA; model-defined GTHPi demand,4.53211203520493
L_LACt2r,"L lactate reversible transport via proton symport","Transport, Extracellular",h_e + lac__L_e  <=> h_c + lac__L_c,Slc16a1_AT1,-2.92556146666673,-2.9139614223334,0.0116000443333251,0.0116000443333251,-0.0116000443333251,-3.6755926333335,-1.80591347499997,-3.06016158399996,-1.77720347500006,1,1,Decreased,iAB-RBC-283 model metadata; COBRA pFBA/FVA; model-defined GTHPi demand,4.26605601760246
GLNS,"Glutamine synthetase","Glutamate metabolism",atp_c + glu__L_c + nh4_c  -> adp_c + gln__L_c + pi_c + h_c,Glul_AT1,0,0,0,0,0,0,0.0097853588888183,0,0.0092336944210366,0,0,Unchanged,iAB-RBC-283 model metadata; COBRA pFBA/FVA; model-defined GTHPi demand,0
GLNt4,"L-glutamine reversible transport via sodium symport","Transport, Extracellular",gln__L_e + na1_e  -> gln__L_c + na1_c,Slc38a4_AT1 or Slc38a1_AT1 or Slc6a14_AT1 or Slc38a2_AT1,0,0,0,0,0,0,0.0065235725925927,0,0.00637964341816314,0,0,Unchanged,iAB-RBC-283 model metadata; COBRA pFBA/FVA; model-defined GTHPi demand,0
LDH_L,"L-lactate dehydrogenase","Glycolysis/Gluconeogenesis",lac__L_c + nad_c  <=> h_c + pyr_c + nadh_c,Ldhb_AT1 or Ldha_AT1,-2.92556146666673,-2.9139614223334,0.0116000443333251,0.0116000443333251,-0.0116000443333251,-3.6755926333335,-1.80591347499997,-3.06016158399996,-1.77720347500006,1,1,Decreased,iAB-RBC-283 model metadata; COBRA pFBA/FVA; model-defined GTHPi demand,4.26605601760246
GLUCYS,"Gamma-glutamylcysteine synthetase","Glutathione Metabolism",atp_c + glu__L_c + cys__L_c  -> adp_c + glucys_c + pi_c + h_c,Gclm_AT1 and Gclc_AT1,0,0,0,0,0,0,0.00838745047619754,0,0.0085580582438931,0,0,Unchanged,iAB-RBC-283 model metadata; COBRA pFBA/FVA; model-defined GTHPi demand,0
NTD7,"5'-nucleotidase (AMP)","Nucleotides",amp_c + h2o_c  -> adn_c + pi_c,Nt5C2_AT1,0,4.51750905244305e-22,4.51750905244305e-22,4.51750905244305e-22,4.51750905244305e-22,0,0.0293560766667074,0,0.0292400323333366,0,0,Unchanged,iAB-RBC-283 model metadata; COBRA pFBA/FVA; model-defined GTHPi demand,0
